  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     2:01 /lib/systemd/systemd --system --deserialize 18
    2 ?        S      0:01 [kthreadd]
    3 ?        I<     0:00 [rcu_gp]
    4 ?        I<     0:00 [rcu_par_gp]
    6 ?        I<     0:00 [kworker/0:0H-kb]
    8 ?        I<     0:00 [mm_percpu_wq]
    9 ?        S      0:12 [ksoftirqd/0]
   10 ?        I      4:30 [rcu_sched]
   11 ?        I      0:00 [rcu_bh]
   12 ?        S      0:00 [migration/0]
   13 ?        S      0:10 [watchdog/0]
   14 ?        S      0:00 [cpuhp/0]
   15 ?        S      0:00 [cpuhp/1]
   16 ?        S      0:08 [watchdog/1]
   17 ?        S      0:01 [migration/1]
   18 ?        S      0:23 [ksoftirqd/1]
   20 ?        I<     0:00 [kworker/1:0H-kb]
   21 ?        S      0:00 [cpuhp/2]
   22 ?        S      0:08 [watchdog/2]
   23 ?        S      0:01 [migration/2]
   24 ?        S      0:11 [ksoftirqd/2]
   26 ?        I<     0:00 [kworker/2:0H-kb]
   27 ?        S      0:00 [cpuhp/3]
   28 ?        S      0:08 [watchdog/3]
   29 ?        S      0:00 [migration/3]
   30 ?        S      0:11 [ksoftirqd/3]
   32 ?        I<     0:00 [kworker/3:0H-kb]
   33 ?        S      0:00 [kdevtmpfs]
   34 ?        I<     0:00 [netns]
   35 ?        S      0:00 [rcu_tasks_kthre]
   36 ?        S      0:00 [kauditd]
   40 ?        S      0:02 [khungtaskd]
   41 ?        S      0:00 [oom_reaper]
   42 ?        I<     0:00 [writeback]
   43 ?        S      0:00 [kcompactd0]
   44 ?        SN     0:00 [ksmd]
   45 ?        SN     0:00 [khugepaged]
   46 ?        I<     0:00 [crypto]
   47 ?        I<     0:00 [kintegrityd]
   48 ?        I<     0:00 [kblockd]
   49 ?        I<     0:00 [ata_sff]
   50 ?        I<     0:00 [md]
   51 ?        I<     0:00 [edac-poller]
   52 ?        I<     0:00 [devfreq_wq]
   53 ?        S      0:00 [watchdogd]
   58 ?        S      0:02 [kswapd0]
   60 ?        S      0:00 [ecryptfs-kthrea]
  105 ?        I<     0:00 [kthrotld]
  106 ?        I<     0:00 [acpi_thermal_pm]
  111 ?        I<     0:00 [ipv6_addrconf]
  121 ?        I<     0:00 [kstrp]
  138 ?        I<     0:00 [charger_manager]
  188 ?        S      0:00 [scsi_eh_0]
  189 ?        I<     0:00 [scsi_tmf_0]
  190 ?        S      0:00 [scsi_eh_1]
  191 ?        I<     0:00 [scsi_tmf_1]
  192 ?        S      0:00 [scsi_eh_2]
  193 ?        I<     0:00 [scsi_tmf_2]
  194 ?        S      0:00 [scsi_eh_3]
  195 ?        I<     0:00 [scsi_tmf_3]
  196 ?        S      0:00 [scsi_eh_4]
  197 ?        I<     0:00 [scsi_tmf_4]
  198 ?        S      0:00 [scsi_eh_5]
  199 ?        I<     0:00 [scsi_tmf_5]
  203 ?        S      0:00 [scsi_eh_6]
  204 ?        I<     0:00 [scsi_tmf_6]
  205 ?        S      2:16 [usb-storage]
  207 ?        I<     0:36 [kworker/0:1H-kb]
  209 ?        I<     0:14 [kworker/2:1H-kb]
  237 ?        S      0:43 [jbd2/sda8-8]
  238 ?        I<     0:00 [ext4-rsv-conver]
  266 ?        I<     0:14 [kworker/1:1H-kb]
  281 ?        I<     0:17 [kworker/3:1H-kb]
  305 ?        S<     0:00 [loop0]
  307 ?        S<     0:00 [loop1]
  310 ?        S<     0:00 [loop2]
  311 ?        S<     0:00 [loop3]
  317 ?        S<     0:00 [loop4]
  318 ?        S<     0:00 [loop5]
  320 ?        S<     0:00 [loop6]
  321 ?        S<     0:00 [loop7]
  322 ?        S<     0:00 [loop8]
  343 ?        I<     0:00 [asus_wireless_w]
  370 ?        I<     0:00 [cfg80211]
  459 ?        I<     0:00 [led_workqueue]
  469 ?        S      0:32 [i915/signal:0]
  470 ?        S      0:00 [i915/signal:1]
  471 ?        S      0:00 [i915/signal:2]
  500 ?        I<     0:00 [nvkm-disp]
  514 ?        I<     0:00 [ttm_swap]
  816 ?        Ss    20:07 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
  829 ?        Ss     3:58 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
  831 ?        Ssl    1:53 /usr/sbin/irqbalance --foreground
  833 ?        Ssl    0:00 /usr/sbin/ModemManager
  834 ?        Ssl    0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
  840 ?        Ss     0:03 /usr/sbin/cron -f
  842 ?        Ss     0:33 avahi-daemon: running [dragon-X.local]
  843 ?        Ss     0:30 /lib/systemd/systemd-logind
  844 ?        Ssl    0:52 /usr/lib/accountsservice/accounts-daemon
  845 ?        Ss     0:17 /usr/sbin/acpid
  847 ?        Ssl    4:30 /usr/lib/udisks2/udisksd
  848 ?        Ssl    1:52 /usr/sbin/thermald --no-daemon --dbus-enable
  850 ?        Ssl   19:47 /usr/sbin/NetworkManager --no-daemon
  855 ?        Ssl    0:27 /usr/sbin/rsyslogd -n
  885 ?        S      0:00 avahi-daemon: chroot helper
  889 ?        Ssl    0:07 /usr/lib/policykit-1/polkitd --no-debug
  929 ?        Ssl    0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
  939 ?        Ssl    0:00 /usr/sbin/gdm3
  947 ?        Sl     0:00 gdm-session-worker [pam/gdm-launch-environment]
  991 ?        Ss     0:10 /lib/systemd/systemd --user
  992 ?        S      0:00 (sd-pam)
 1007 tty1     Ssl+   0:00 /usr/lib/gdm3/gdm-wayland-session gnome-session --autostart /usr/share/gdm/greeter/autostart
 1009 ?        Ss     0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
 1011 tty1     Sl+    0:00 /usr/lib/gnome-session/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
 1017 tty1     Sl+   34:00 /usr/bin/gnome-shell
 1029 ?        Ssl    0:43 /usr/lib/upower/upowerd
 1063 ?        Ssl    0:01 /usr/bin/whoopsie -f
 1068 ?        Ss     1:59 /usr/sbin/kerneloops --test
 1071 ?        Ss     1:59 /usr/sbin/kerneloops
 1131 tty1     Sl+    0:01 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
 1139 ?        Ssl    0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
 1144 ?        S      0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
 1146 ?        Sl     0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
 1151 ?        Ssl    0:00 /usr/bin/pulseaudio --daemonize=no
 1152 ?        SNsl   0:29 /usr/lib/rtkit/rtkit-daemon
 1166 tty1     Sl     0:00 ibus-daemon --xim --panel disable
 1169 tty1     Sl     0:00 /usr/lib/ibus/ibus-dconf
 1171 tty1     Sl     0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
 1174 ?        Sl     0:00 /usr/lib/ibus/ibus-portal
 1186 ?        Ssl    0:06 /usr/lib/x86_64-linux-gnu/boltd
 1187 ?        Ssl    1:19 /usr/lib/packagekit/packagekitd
 1188 tty1     Sl+    0:02 /usr/lib/gnome-settings-daemon/gsd-xsettings
 1192 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
 1193 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
 1198 tty1     Sl+   40:54 /usr/lib/gnome-settings-daemon/gsd-color
 1199 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-datetime
 1201 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-housekeeping
 1202 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
 1208 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
 1210 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-mouse
 1211 tty1     Sl+    0:11 /usr/lib/gnome-settings-daemon/gsd-power
 1214 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
 1215 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
 1218 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
 1219 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sharing
 1224 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
 1226 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sound
 1232 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-wacom
 1243 tty1     Sl     0:00 /usr/lib/ibus/ibus-engine-simple
 1279 ?        Ssl    0:00 /usr/lib/colord/colord
 1310 ?        Sl     0:01 gdm-session-worker [pam/gdm-password]
 1316 ?        Ss     0:23 /lib/systemd/systemd --user
 1317 ?        S      0:00 (sd-pam)
 1330 ?        SLl    0:51 /usr/bin/gnome-keyring-daemon --daemonize --login
 1334 tty2     Ssl+   0:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
 1336 tty2     Sl+  162:19 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
 1343 ?        Ss     6:02 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
 1346 tty2     Sl+    0:02 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
 1377 ?        Sl     2:01 /usr/bin/fcitx
 1381 ?        Ss     0:20 /lib/systemd/systemd-resolved
 1386 ?        Ssl    0:02 /lib/systemd/systemd-timesyncd
 1390 ?        S<s    0:42 /lib/systemd/systemd-journald
 1407 ?        Ss     0:54 /usr/bin/dbus-daemon --syslog --fork --print-pid 5 --print-address 7 --config-file /usr/share/fcitx/dbus/daemon.conf
 1415 ?        SN     0:00 /usr/bin/fcitx-dbus-watcher unix:abstract=/tmp/dbus-4THqLbEyG0,guid=5d0874b7163b0b3cf3ff71b55c8325a6 1407
 1436 ?        Ss     0:08 /usr/bin/ssh-agent /usr/bin/sogou-session /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
 1448 ?        Ssl    0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
 1453 ?        S      0:04 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
